0,0
1462,900
2991,1717
4582,2449
6205,3131
7843,3788
9494,4421
11159,5028
12836,5611
14526,6169
16228,6702
17940,7209
19663,7690
21397,8146
23140,8575
24891,8979
26657,9339
28427,9682
30199,10017
31974,10345
33750,10665
35529,10978
37309,11284
39091,11582
40874,11873
42660,12156
44447,12432
46236,12700
48026,12961
49818,13214
51612,13460
53407,13698
55203,13929
57001,14152
58800,14368
60600,14576
62401,14777
64204,14970
66008,15155
67813,15333
69619,15504
71426,15667
73234,15822
75043,15970
76852,16110
78663,16243
80474,16368
82286,16486
84099,16595
85912,16698
87726,16793
89541,16880
91356,16959
93171,17031
94987,17096
96803,17153
98620,17202
100437,17247
102253,17306
104068,17380
105884,17453
107699,17521
109515,17584
111331,17642
113148,17695
114964,17743
116781,17785
118598,17823
120415,17855
122233,17883
124050,17905
125867,17922
127685,17935
129502,17942
131320,17944
133137,17941
134955,17932
136772,17919
138590,17901
140407,17878
142224,17849
144041,17816
145858,17777
147675,17733
149492,17684
151308,17631
153124,17572
154940,17508
156756,17439
158571,17365
160386,17285
162201,17201
164015,17112
165829,17017
167643,16918
169456,16813
171269,16703
173081,16589
174893,16469
176704,16344
