deltaB
123
119
113
109
104
98
95
88
84
79
74
69
64
59
53
49
45
39
34
29
24
19
14
10
5
-1
-6
-11
-16
-20
-26
-30
-36
-40
-46
-51
-55
-61
-65
-70
-73
-65
-50
-47
-53
-61
-68
-75
-82
-90
-98
-105
-112
-120
-127
-135
-142
-149
-157
-165
-172
-179
-186
-193
-202
-209
-216
-223
-231
-238
-245
-253
-260
-267
-275
-282
-290
-297
-304
-311
-319
-326
-333
-342
-363
-403
-428
-455
-479
-504
-530
-554
-579
-602
-628
-651
-677
-726
-810
-891
