aBuf,bBuf,cBuf,dBuf,deltaA,deltaB,deltaC,deltaD
0.0000,0.0000,0.0000,0.0000,-1799.0000,-275.0000,3.3333,0.0000
0.0000,0.0000,0.0000,0.0000,-1800.0000,-282.0000,3.3333,0.0000
0.0000,0.0000,0.0000,0.0000,-1799.0000,-290.0000,3.3333,0.0000
0.0000,0.0000,0.0000,0.0000,-1799.0000,-297.0000,3.3333,0.0000
0.0000,0.0000,0.0000,0.0000,-1800.0000,-304.0000,3.3333,0.0000
0.0000,0.0000,0.0000,0.0000,-1799.0000,-311.0000,3.3333,0.0000
0.0000,0.0000,0.0000,0.0000,-1799.0000,-319.0000,4.1666,0.0000
0.0000,0.0000,0.0000,0.0000,-1798.0000,-326.0000,0.0000,0.0000
0.0000,50.0000,0.0000,0.0000,-1799.0000,-333.0000,0.0000,0.0000
0.0000,217.0000,0.0000,0.0000,-1799.0000,-342.0000,0.0000,0.0000
0.0000,500.0000,0.0000,0.0000,-1798.0000,-363.0000,5.0000,0.0000
0.0000,901.0000,0.0000,0.0000,-1798.0000,-403.0000,7.0000,0.0000
0.0000,1419.0000,0.0000,0.0000,-1798.0000,-428.0000,7.0000,0.0000
0.0000,2054.0000,0.0000,0.0000,-1798.0000,-455.0000,7.0000,0.0000
0.0000,2807.0000,0.0000,0.0000,-1797.0000,-479.0000,7.0000,0.0000
0.0000,3676.0000,0.0000,0.0000,-1798.0000,-504.0000,7.0000,0.0000
0.0000,4663.0000,0.0000,0.0000,-1796.0000,-530.0000,7.0000,0.0000
0.0000,5767.0000,0.0000,0.0000,-1797.0000,-554.0000,7.0000,0.0000
0.0000,6988.0000,0.0000,0.0000,-1796.0000,-579.0000,7.0000,0.0000
0.0000,8326.0000,0.0000,0.0000,-1796.0000,-602.0000,7.0000,0.0000
0.0000,9770.0000,0.0000,0.0000,-1795.0000,-628.0000,7.0000,0.0000
0.0000,11235.0000,0.0000,0.0000,-1795.0000,-651.0000,7.0000,0.0000
0.0000,12700.0000,0.0000,0.0000,-1795.0000,-677.0000,7.0000,0.0000
0.0000,14164.0000,0.0000,0.0000,-1794.0000,-726.0000,7.0000,0.0000
0.0000,15629.0000,0.0000,0.0000,-1794.0000,-810.0000,3.0000,0.0000
0.0000,17094.0000,0.0000,0.0000,-1793.0000,-891.0000,3.0000,0.0000
0.0000,18559.0000,0.0000,0.0000,,,,
0.0000,20024.0000,0.0000,0.0000,,,,
0.0000,21489.0000,0.0000,0.0000,,,,
0.0000,22953.0000,0.0000,0.0000,,,,
0.0000,24418.0000,0.0000,0.0000,,,,
0.0000,25883.0000,0.0000,0.0000,,,,
0.0000,27348.0000,0.0000,0.0000,,,,
0.0000,28813.0000,0.0000,0.0000,,,,
0.0000,30278.0000,0.0000,0.0000,,,,
0.0000,31743.0000,0.0000,0.0000,,,,
0.0000,33207.0000,0.0000,0.0000,,,,
0.0000,34672.0000,0.0000,0.0000,,,,
0.0000,36137.0000,0.0000,0.0000,,,,
0.0000,37602.0000,0.0000,0.0000,,,,
0.0000,39067.0000,0.0000,0.0000,,,,
0.0000,40532.0000,0.0000,0.0000,,,,
0.0000,41996.0000,0.0000,0.0000,,,,
0.0000,43461.0000,0.0000,0.0000,,,,
0.0000,44926.0000,0.0000,0.0000,,,,
0.0000,46391.0000,0.0000,0.0000,,,,
0.0000,47856.0000,0.0000,0.0000,,,,
0.0000,49321.0000,0.0000,0.0000,,,,
0.0000,50786.0000,0.0000,0.0000,,,,
0.0000,52250.0000,0.0000,0.0000,,,,
0.0000,53715.0000,0.0000,0.0000,,,,
0.0000,55180.0000,0.0000,0.0000,,,,
0.0000,56645.0000,0.0000,0.0000,,,,
0.0000,58110.0000,0.0000,0.0000,,,,
0.0000,59575.0000,0.0000,0.0000,,,,
0.0000,61039.0000,0.0000,0.0000,,,,
0.0000,62504.0000,0.0000,0.0000,,,,
0.0000,63969.0000,0.0000,0.0000,,,,
0.0000,65434.0000,0.0000,0.0000,,,,
0.0000,66899.0000,0.0000,0.0000,,,,
0.0000,68364.0000,0.0000,0.0000,,,,
0.0000,69828.0000,0.0000,0.0000,,,,
0.0000,71293.0000,0.0000,0.0000,,,,
0.0000,72758.0000,0.0000,0.0000,,,,
0.0000,74223.0000,0.0000,0.0000,,,,
0.0000,75688.0000,0.0000,0.0000,,,,
0.0000,77153.0000,0.0000,0.0000,,,,
0.0000,78618.0000,0.0000,0.0000,,,,
0.0000,80082.0000,0.0000,0.0000,,,,
0.0000,81547.0000,0.0000,0.0000,,,,
0.0000,83012.0000,0.0000,0.0000,,,,
0.0000,84477.0000,0.0000,0.0000,,,,
0.0000,85942.0000,0.0000,0.0000,,,,
0.0000,87407.0000,0.0000,0.0000,,,,
0.0000,88871.0000,0.0000,0.0000,,,,
0.0000,90336.0000,0.0000,0.0000,,,,
0.0000,91801.0000,0.0000,0.0000,,,,
0.0000,93266.0000,0.0000,0.0000,,,,
0.0000,94731.0000,0.0000,0.0000,,,,
0.0000,96196.0000,0.0000,0.0000,,,,
0.0000,97661.0000,0.0000,0.0000,,,,
0.0000,99125.0000,0.0000,0.0000,,,,
0.0000,100590.0000,0.0000,0.0000,,,,
0.0000,102055.0000,0.0000,0.0000,,,,
0.0000,103520.0000,0.0000,0.0000,,,,
0.0000,104985.0000,0.0000,0.0000,,,,
0.0000,106450.0000,0.0000,0.0000,,,,
0.0000,107914.0000,0.0000,0.0000,,,,
0.0000,109379.0000,0.0000,0.0000,,,,
0.0000,110844.0000,0.0000,0.0000,,,,
